bowler,season,bowling_team,matches,balls_bowled,overs_bowled,runs_given,wickets,economy_rate,bowling_average
W O'Rourke,2025,Lucknow Super Giants,3,62,10.3,132,6,12.77,10.33
WA Mota,2008,Kings XI Punjab,2,18,3.0,36,1,12.0,18.0
WA Mota,2009,Kings XI Punjab,5,54,9.0,61,3,6.78,18.0
WD Parnell,2011,Pune Warriors,8,176,29.3,213,9,7.26,19.56
WD Parnell,2012,Pune Warriors,6,126,21.0,128,5,6.1,25.2
WD Parnell,2013,Pune Warriors,4,89,14.8,137,6,9.24,14.83
WD Parnell,2014,Delhi Daredevils,8,181,30.2,223,6,7.39,30.17
WD Parnell,2023,Royal Challengers Bangalore,7,151,25.2,236,9,9.38,16.78
WG Jacks,2024,Royal Challengers Bengaluru,5,54,9.0,100,2,11.11,27.0
WG Jacks,2025,Mumbai Indians,8,84,14.0,120,6,8.57,14.0
WPUJC Vaas,2008,Deccan Chargers,5,102,17.0,145,5,8.53,20.4
WPUJC Vaas,2009,Deccan Chargers,2,48,8.0,71,4,8.88,12.0
WPUJC Vaas,2010,Deccan Chargers,6,132,22.0,139,9,6.32,14.67
Washington Sundar,2017,Rising Pune Supergiant,10,180,30.0,185,8,6.17,22.5
Washington Sundar,2018,Royal Challengers Bangalore,7,120,20.0,192,4,9.6,30.0
Washington Sundar,2019,Royal Challengers Bangalore,3,54,9.0,74,4,8.22,13.5
Washington Sundar,2020,Royal Challengers Bangalore,15,300,50.0,298,8,5.96,37.5
Washington Sundar,2021,Royal Challengers Bangalore,6,96,16.0,118,3,7.38,32.0
Washington Sundar,2022,Sunrisers Hyderabad,8,168,28.0,239,6,8.54,28.0
Washington Sundar,2023,Sunrisers Hyderabad,7,106,17.7,146,3,8.26,35.33
Washington Sundar,2024,Sunrisers Hyderabad,2,30,5.0,73,1,14.6,30.0
Washington Sundar,2025,Gujarat Titans,5,65,10.8,111,2,10.25,32.5
XC Bartlett,2025,Punjab Kings,4,60,10.0,96,2,9.6,30.0
Y Gnaneswara Rao,2011,Kochi Tuskers Kerala,1,6,1.0,7,0,7.0,
Y Nagar,2009,Delhi Daredevils,1,12,2.0,20,2,10.0,6.0
Y Nagar,2010,Delhi Daredevils,1,18,3.0,28,1,9.33,18.0
Y Nagar,2011,Delhi Daredevils,5,30,5.0,67,1,13.4,30.0
Y Nagar,2012,Delhi Daredevils,1,6,1.0,10,0,10.0,
Y Prithvi Raj,2019,Kolkata Knight Riders,2,30,5.0,57,1,11.4,30.0
Y Venugopal Rao,2008,Deccan Chargers,7,84,14.0,137,2,9.79,42.0
Y Venugopal Rao,2009,Deccan Chargers,6,90,15.0,122,4,8.13,22.5
Y Venugopal Rao,2010,Deccan Chargers,1,6,1.0,10,0,10.0,
Y Venugopal Rao,2011,Delhi Daredevils,2,12,2.0,26,0,13.0,
Y Venugopal Rao,2012,Delhi Daredevils,2,12,2.0,26,0,13.0,
Y Venugopal Rao,2014,Sunrisers Hyderabad,2,12,2.0,16,0,8.0,
YA Abdulla,2009,Kings XI Punjab,9,168,28.0,241,14,8.61,12.0
YA Abdulla,2010,Kings XI Punjab,2,41,6.8,66,1,9.66,41.0
YBK Jaiswal,2022,Rajasthan Royals,1,1,0.2,6,0,36.0,
YK Pathan,2008,Rajasthan Royals,13,169,28.2,230,8,8.17,21.13
YK Pathan,2009,Rajasthan Royals,11,210,35.0,243,7,6.94,30.0
YK Pathan,2010,Rajasthan Royals,11,204,34.0,246,5,7.24,40.8
YK Pathan,2011,Kolkata Knight Riders,14,234,39.0,238,13,6.1,18.0
YK Pathan,2012,Kolkata Knight Riders,12,132,22.0,182,3,8.27,44.0
YK Pathan,2013,Kolkata Knight Riders,5,54,9.0,73,1,8.11,54.0
YK Pathan,2014,Kolkata Knight Riders,1,6,1.0,10,0,10.0,
YK Pathan,2015,Kolkata Knight Riders,5,60,10.0,97,2,9.7,30.0
YK Pathan,2016,Kolkata Knight Riders,4,36,6.0,33,1,5.5,36.0
YK Pathan,2017,Kolkata Knight Riders,4,24,4.0,41,1,10.25,24.0
YK Pathan,2018,Sunrisers Hyderabad,1,12,2.0,14,1,7.0,12.0
YK Pathan,2019,Sunrisers Hyderabad,1,6,1.0,8,0,8.0,
YS Chahal,2013,Mumbai Indians,1,24,4.0,34,0,8.5,
YS Chahal,2014,Royal Challengers Bangalore,14,330,55.0,386,12,7.02,27.5
YS Chahal,2015,Royal Challengers Bangalore,14,281,46.8,415,23,8.86,12.22
YS Chahal,2016,Royal Challengers Bangalore,13,295,49.2,401,21,8.16,14.05
YS Chahal,2017,Royal Challengers Bangalore,13,261,43.5,333,14,7.66,18.64
YS Chahal,2018,Royal Challengers Bangalore,14,300,50.0,363,12,7.26,25.0
YS Chahal,2019,Royal Challengers Bangalore,14,296,49.3,386,18,7.82,16.44
YS Chahal,2020,Royal Challengers Bangalore,15,343,57.2,405,21,7.08,16.33
YS Chahal,2021,Royal Challengers Bangalore,15,318,53.0,374,18,7.06,17.67
YS Chahal,2022,Rajasthan Royals,17,408,68.0,527,27,7.75,15.11
YS Chahal,2023,Rajasthan Royals,14,317,52.8,432,21,8.18,15.1
YS Chahal,2024,Rajasthan Royals,15,348,58.0,546,18,9.41,19.33
YS Chahal,2025,Punjab Kings,13,270,45.0,430,16,9.56,16.88
Yash Dayal,2022,Gujarat Titans,9,192,32.0,296,11,9.25,17.45
Yash Dayal,2023,Gujarat Titans,5,84,14.0,165,2,11.79,42.0
Yash Dayal,2024,Royal Challengers Bengaluru,14,301,50.2,459,15,9.15,20.07
Yash Dayal,2025,Royal Challengers Bengaluru,15,294,49.0,470,13,9.59,22.62
Yash Thakur,2023,Lucknow Super Giants,9,191,31.8,289,13,9.08,14.69
Yash Thakur,2024,Lucknow Super Giants,10,213,35.5,402,11,11.32,19.36
Yash Thakur,2025,Punjab Kings,2,39,6.5,79,1,12.15,39.0
Yudhvir Singh,2023,Lucknow Super Giants,3,48,8.0,70,3,8.75,16.0
Yudhvir Singh,2024,Lucknow Super Giants,2,24,4.0,52,1,13.0,24.0
Yudhvir Singh,2025,Rajasthan Royals,4,66,11.0,131,4,11.91,16.5
Yuvraj Singh,2008,Kings XI Punjab,6,54,9.0,83,3,9.22,18.0
Yuvraj Singh,2009,Kings XI Punjab,9,120,20.0,142,6,7.1,20.0
Yuvraj Singh,2010,Kings XI Punjab,10,138,23.0,152,5,6.61,27.6
Yuvraj Singh,2011,Pune Warriors,13,174,29.0,192,9,6.62,19.33
Yuvraj Singh,2013,Pune Warriors,10,132,22.0,152,6,6.91,22.0
Yuvraj Singh,2014,Royal Challengers Bangalore,10,136,22.7,187,5,8.25,27.2
Yuvraj Singh,2015,Delhi Daredevils,6,54,9.0,72,1,8.0,54.0
Yuvraj Singh,2016,Sunrisers Hyderabad,5,37,6.2,52,0,8.43,
Yuvraj Singh,2017,Sunrisers Hyderabad,2,12,2.0,22,1,11.0,12.0
